user_id,username,ext_acc_info,address,user_type,date_registered,account_status,,user_type,,user_type,account_status
100000,augueporttitor,"{""facebook"":""pede.ac.urna@protonmail.edu"",""twitter"":""pede.ac.urna@protonmail.edu""}","{""address"":""181-7773 Dis Av."",""state"":""KS"",""zipcode"":72691}",Business,6/14/2023 8:39,Open,"""","""Business""","""","""""Business""""","""Open"""
100001,tortorInteger,"{""facebook"":""amet.ante@icloud.com"",""twitter"":""amet.ante@icloud.com""}","{""address"":""284-7313 Curabitur Rd."",""state"":""OR"",""zipcode"":85135}",Business,2/24/2024 4:02,Open,"""","""Business""","""","""""Business""""","""Open"""
100002,etlacinia,"{""facebook"":""rhoncus.id@yahoo.com"",""twitter"":""rhoncus.id@yahoo.com""}","{""address"":""Ap #893-8004 Congue Rd."",""state"":""AZ"",""zipcode"":29078}",Business,6/27/2023 2:56,Open,"""","""Business""","""","""""Business""""","""Open"""
100003,Sedid,"{""facebook"":""semper.egestas@hotmail.net"",""twitter"":""semper.egestas@hotmail.net""}","{""address"":""6774 Ac St."",""state"":""TX"",""zipcode"":74649}",Business,12/27/2023 12:04,Closed,"""","""Business""","""","""""Business""""","""Closed"""
100004,Aliquamrutrum,"{""facebook"":""massa@outlook.org"",""twitter"":""massa@outlook.org""}","{""address"":""6932 Lobortis Rd."",""state"":""GA"",""zipcode"":22587}",Personal,1/31/2024 11:23,Closed,"""","""Personal""","""","""""Personal""""","""Closed"""
100005,ligulaAenean,"{""facebook"":""proin.vel@outlook.org"",""twitter"":""proin.vel@outlook.org""}","{""address"":""Ap #328-8194 Ut Rd."",""state"":""NV"",""zipcode"":60246}",Personal,5/18/2023 17:31,Open,"""","""Personal""","""","""""Personal""""","""Open"""
100006,liberodui,"{""facebook"":""lorem@aol.org"",""twitter"":""lorem@aol.org""}","{""address"":""Ap #259-3206 Arcu Rd."",""state"":""MD"",""zipcode"":89635}",Personal,12/18/2023 11:46,Open,"""","""Personal""","""","""""Personal""""","""Open"""
100007,anunc,"{""facebook"":""luctus.felis.purus@aol.com"",""twitter"":""luctus.felis.purus@aol.com""}","{""address"":""Ap #947-4906 Cursus Road"",""state"":""OR"",""zipcode"":86476}",Business,5/18/2023 5:26,Closed,"""","""Business""","""","""""Business""""","""Closed"""
100008,Maurisut,"{""facebook"":""est@hotmail.org"",""twitter"":""est@hotmail.org""}","{""address"":""756-9171 Ut St."",""state"":""CO"",""zipcode"":36878}",Business,2/20/2024 19:26,Open,"""","""Business""","""","""""Business""""","""Open"""
100009,Nuncullamcorper,"{""facebook"":""cursus.et@yahoo.couk"",""twitter"":""cursus.et@yahoo.couk""}","{""address"":""Ap #710-5818 Tincidunt Ave"",""state"":""VA"",""zipcode"":35333}",Personal,2/2/2024 6:19,Open,"""","""Personal""","""","""""Personal""""","""Open"""
100010,Nullamenim,"{""facebook"":""ante.lectus.convallis@hotmail.ca"",""twitter"":""ante.lectus.convallis@hotmail.ca""}","{""address"":""703-5300 Fringilla, Avenue"",""state"":""MA"",""zipcode"":85721}",Business,11/24/2023 17:03,Closed,"""","""Business""","""","""""Business""""","""Closed"""
100011,velturpis,"{""facebook"":""ipsum.primis@yahoo.couk"",""twitter"":""ipsum.primis@yahoo.couk""}","{""address"":""859-6033 Sed Street"",""state"":""FL"",""zipcode"":28162}",Personal,10/6/2023 19:43,Open,"""","""Personal""","""","""""Personal""""","""Open"""
100012,justoPraesent,"{""facebook"":""amet.lorem@protonmail.edu"",""twitter"":""amet.lorem@protonmail.edu""}","{""address"":""Ap #598-5964 Auctor, Street"",""state"":""OH"",""zipcode"":94182}",Business,12/15/2023 8:41,Closed,"""","""Business""","""","""""Business""""","""Closed"""
100013,molestietortor,"{""facebook"":""purus.ac@google.net"",""twitter"":""purus.ac@google.net""}","{""address"":""925-8302 Augue St."",""state"":""OH"",""zipcode"":24858}",Business,5/19/2023 17:01,Open,"""","""Business""","""","""""Business""""","""Open"""
100014,gravidamolestie,"{""facebook"":""fringilla.est@aol.ca"",""twitter"":""fringilla.est@aol.ca""}","{""address"":""Ap #375-1912 Accumsan Rd."",""state"":""MS"",""zipcode"":18428}",Personal,1/1/2024 14:31,Closed,"""","""Personal""","""","""""Personal""""","""Closed"""
100015,Aliquamerat,"{""facebook"":""ultricies.adipiscing.enim@hotmail.edu"",""twitter"":""ultricies.adipiscing.enim@hotmail.edu""}","{""address"":""778-1771 Luctus Av."",""state"":""IA"",""zipcode"":86485}",Personal,12/24/2023 21:20,Closed,"""","""Personal""","""","""""Personal""""","""Closed"""
100016,natoquepenatibus,"{""facebook"":""tempus@yahoo.org"",""twitter"":""tempus@yahoo.org""}","{""address"":""Ap #615-4285 Dui. Rd."",""state"":""TX"",""zipcode"":57648}",Business,2/15/2024 17:43,Open,"""","""Business""","""","""""Business""""","""Open"""
