user_id,username,email,address,password,user_type,account_status,date_registered
100000,"""augueporttitor""","""pede.ac.urna@protonmail.edu""","{""address"":""181-7773 Dis Av."",""state"":""KS"",""zipcode"":72691}","""facilisiseget""",3,"""Open""",1/18/2021 1:14
100001,"""tortorInteger""","""amet.ante@icloud.com""","{""address"":""284-7313 Curabitur Rd."",""state"":""OR"",""zipcode"":85135}","""sit""",3,"""Open""",9/18/2020 16:58
100002,"""etlacinia""","""rhoncus.id@yahoo.com""","{""address"":""Ap #893-8004 Congue Rd."",""state"":""AZ"",""zipcode"":29078}","""sitamet""",4,"""Open""",4/18/2021 11:03
100003,"""Sedid""","""semper.egestas@hotmail.net""","{""address"":""6774 Ac St."",""state"":""TX"",""zipcode"":74649}","""neque""",3,"""Open""",1/12/2024 10:06
100004,"""Aliquamrutrum""","""massa@outlook.org""","{""address"":""6932 Lobortis Rd."",""state"":""GA"",""zipcode"":22587}","""sociisnatoque""",2,"""Closed""",11/26/2022 7:01
100005,"""ligulaAenean""","""proin.vel@outlook.org""","{""address"":""Ap #328-8194 Ut Rd."",""state"":""NV"",""zipcode"":60246}","""arcuet""",2,"""Open""",9/28/2021 8:00
100006,"""liberodui""","""lorem@aol.org""","{""address"":""Ap #259-3206 Arcu Rd."",""state"":""MD"",""zipcode"":89635}","""Integeridmagna""",3,"""Closed""",10/22/2021 23:41
100007,"""anunc""","""luctus.felis.purus@aol.com""","{""address"":""Ap #947-4906 Cursus Road"",""state"":""OR"",""zipcode"":86476}","""ategestas""",2,"""Open""",8/21/2022 21:41
100008,"""Maurisut""","""est@hotmail.org""","{""address"":""756-9171 Ut St."",""state"":""CO"",""zipcode"":36878}","""nisiAeneaneget""",4,"""Closed""",6/5/2022 22:56
100009,"""Nuncullamcorper""","""cursus.et@yahoo.couk""","{""address"":""Ap #710-5818 Tincidunt Ave"",""state"":""VA"",""zipcode"":35333}","""elementumpurus""",1,"""Open""",11/16/2022 14:49
100010,"""Nullamenim""","""ante.lectus.convallis@hotmail.ca""","{""address"":""703-5300 Fringilla, Avenue"",""state"":""MA"",""zipcode"":85721}","""consequat""",4,"""Closed""",1/11/2021 5:14
100011,"""velturpis""","""ipsum.primis@yahoo.couk""","{""address"":""859-6033 Sed Street"",""state"":""FL"",""zipcode"":28162}","""eleifendegestas""",3,"""Open""",5/8/2020 2:06
100012,"""justoPraesent""","""amet.lorem@protonmail.edu""","{""address"":""Ap #598-5964 Auctor, Street"",""state"":""OH"",""zipcode"":94182}","""infelisNulla""",4,"""Closed""",1/16/2021 0:18
100013,"""molestietortor""","""purus.ac@google.net""","{""address"":""925-8302 Augue St."",""state"":""OH"",""zipcode"":24858}","""anteiaculis""",4,"""Closed""",9/17/2022 0:46
100014,"""gravidamolestie""","""fringilla.est@aol.ca""","{""address"":""Ap #375-1912 Accumsan Rd."",""state"":""MS"",""zipcode"":18428}","""velnisl""",4,"""Closed""",5/30/2023 12:49
100015,"""Aliquamerat""","""ultricies.adipiscing.enim@hotmail.edu""","{""address"":""778-1771 Luctus Av."",""state"":""IA"",""zipcode"":86485}","""loremtristique""",2,"""Open""",8/12/2022 15:12
100016,"""natoquepenatibus""","""tempus@yahoo.org""","{""address"":""Ap #615-4285 Dui. Rd."",""state"":""TX"",""zipcode"":57648}","""intempus""",2,"""Closed""",6/24/2020 4:30
100017,"""urnaconvallis""","""enim@outlook.org""","{""address"":""692-6312 Nec, Road"",""state"":""CT"",""zipcode"":62445}","""imperdiet""",4,"""Closed""",1/2/2021 21:53
100018,"""loremtristique""","""magna.et@hotmail.net""","{""address"":""Ap #135-3180 Ipsum. Avenue"",""state"":""ME"",""zipcode"":74831}","""placerateget""",3,"""Open""",6/5/2021 16:48
100019,"""sollicitudinadipiscing""","""nunc.sollicitudin@yahoo.edu""","{""address"":""Ap #230-7309 Bibendum Avenue"",""state"":""IL"",""zipcode"":39786}","""Quisque""",4,"""Open""",9/23/2021 18:05
100020,"""placerataugue""","""nisl.arcu@outlook.com""","{""address"":""646-579 Eget Avenue"",""state"":""AR"",""zipcode"":87518}","""arcu""",2,"""Closed""",9/30/2021 15:26
100021,"""incursus""","""ac@google.ca""","{""address"":""182-847 Commodo Rd."",""state"":""DE"",""zipcode"":57717}","""Quisquepurussapien""",5,"""Open""",5/30/2020 20:40
100022,"""velitegestas""","""fames@icloud.ca""","{""address"":""P.O. Box 845, 865 Molestie Av."",""state"":""MD"",""zipcode"":56121}","""felispurus""",1,"""Closed""",3/2/2024 7:31
100023,"""rutrumlorem""","""nec@hotmail.edu""","{""address"":""Ap #370-8165 Faucibus. Avenue"",""state"":""CO"",""zipcode"":36101}","""aaliquetvel""",2,"""Open""",4/24/2021 6:39
100024,"""felisadipiscing""","""dictum.augue@outlook.ca""","{""address"":""106-3283 Odio. St."",""state"":""LA"",""zipcode"":51457}","""vitaevelitegestas""",3,"""Closed""",3/19/2024 8:43
100025,"""nasceturridiculus""","""donec@icloud.org""","{""address"":""841-6662 Elit St."",""state"":""GA"",""zipcode"":40666}","""interdumfeugiatSed""",5,"""Closed""",9/3/2021 14:13
100026,"""ultricesposuere""","""tempus.scelerisque@icloud.edu""","{""address"":""Ap #660-480 Facilisis Ave"",""state"":""TN"",""zipcode"":86425}","""elementumpurus""",5,"""Open""",7/18/2021 8:10
100027,"""idmollis""","""fusce.feugiat@protonmail.couk""","{""address"":""Ap #218-9453 Vulputate Rd."",""state"":""CT"",""zipcode"":32945}","""aptenttacitisociosqu""",4,"""Open""",6/15/2021 11:56
100028,"""temporest""","""ullamcorper.eu.euismod@yahoo.net""","{""address"":""495-142 Ac St."",""state"":""CT"",""zipcode"":55024}","""antebibendumullamcorper""",2,"""Closed""",3/29/2021 13:46
100029,"""seddictum""","""vulputate.nisi@aol.couk""","{""address"":""4590 Ac Av."",""state"":""CA"",""zipcode"":40962}","""liberoInteger""",3,"""Closed""",12/18/2022 16:29
100030,"""fermentumfermentum""","""ac.mi@outlook.ca""","{""address"":""119-3068 Sem St."",""state"":""AL"",""zipcode"":48561}","""utnisi""",5,"""Closed""",3/22/2023 15:44
100031,"""inconsequat""","""ultrices.iaculis@google.couk""","{""address"":""Ap #440-1047 Ornare, Rd."",""state"":""MO"",""zipcode"":33928}","""estacmattis""",4,"""Open""",9/16/2022 11:27
